ID,Tweet Content,Likes,Retweets,Replies,Tweet Creation Date,Engagement,Engagement_Level,Emocion,Intensidad,Prob_Emocion
0,"Relacionado con los premios ESLAND, después de levantarme con resaquita de amor, decir que Grefg lo hizo increíblemente bien como presentador, la organización fue muy buena, y el ambiente entre todos los presentes y creadores fue ES-PEC-TA-CU-LAR. Tenemos un grupito 10.",29052,501,60,2022-01-18 17:58:12,29613,Alto,Alegría,Alta,0.993
1,otra vez no por el amor de jesucristo,128225,7293,478,2022-01-18 18:12:16,135996,Viral,Enfado,Media,0.607
2,"Hoy no va a haber la segunda parte del podcast con Lethal y Clavero porque subiré un vídeo al Rincón de Giorgio muy chulo y no me quiero hacer la competencia a mí mismo.
El podcast será mañana por la tarde, no me peguéis.",17078,249,158,2022-01-20 16:01:34,17485,Alto,Neutral,Alta,0.993
3,"NUEVO VÍDEO
La secta de Jonestown, dirigida por el loco Reverendo Jim Jones, es una de las historias más terribles y trágicas de la historia moderna de la humanidad.",2529,98,41,2022-01-20 18:04:21,2668,Bajo,Tristeza,Media,0.596
4,"NUEVO PODCAST

@LethalCrysis
 y 
@HiClavero
 vuelven para un podcast especial de viajes, donde relataran sus mejores aventuras (algunas muy peligrosas). No os lo podéis perder porque es una pasada lo que cuentan.",2141,91,24,2022-01-21 15:44:22,2256,Bajo,Alegría,Alta,0.977
5,"Hoy todos los hispanos y latinos con BRANDON MORENO joder.
Destroza a Figueiredo y demuestra de nuevo lo grande que eres.
#UFC270",8499,315,97,2022-01-23 04:27:10,8911,Medio,Alegría,Alta,0.97
6,"Pues nada, no ha podido ser 
Combate muy táctico y reñido, podría haber ido para cualquier lado (para mí por poquito para Brandon), pero desde luego tiene que haber un cuarto combate entre Moreno y Figuereido. Aunque a este paso habrán 3.456 entre ellos…
#UFC270",5059,190,129,2022-01-23 05:18:47,5378,Medio,Neutral,Alta,0.993
7,Lo del hacker de Andorra es el mejor anime de 2022. No puedo esperar a ver el siguiente giro argumental.,30281,805,131,2022-01-23 18:08:08,31217,Alto,Alegría,Media,0.691
8,"No soy streamer, pero al próximo evento tipo Squid Games que haya, apúntadme.
Ni que sea una vez en mi vida quiero vivir algo así.
Sois muy grandes.",81647,1581,295,2022-01-25 00:33:12,83523,Viral,Alegría,Alta,0.952
9,"NUEVO PODCAST
Os explico qué tal fueron los premios ESLAND y los analizamos, se viene 
@PapaGiorgioReal
 de tertuliano junto a Leo Margets, ¿qué puede salir mal?",2056,63,31,2022-01-25 15:51:07,2150,Bajo,Neutral,Alta,0.965
10,Simplemente mi padre,14310,1070,139,2022-01-26 20:24:49,15519,Alto,Alegría,Alta,0.775
