ID,Palabras_Clave,Emocion,Intensidad,Engagement,Engagement_Level,Tweet Creation Date,Prob_Emocion
0,"relacionado, premios, esland, después, levantarme",Alegría,Alta,29613,Alto,2022-01-18 17:58:12,0.993
1,"otra, amor, jesucristo",Enfado,Media,135996,Viral,2022-01-18 18:12:16,0.607
2,"haber, segunda, parte, podcast, lethal",Neutral,Alta,17485,Alto,2022-01-20 16:01:34,0.993
3,"nuevo, vídeo, secta, jonestown, dirigida",Tristeza,Media,2668,Bajo,2022-01-20 18:04:21,0.596
4,"nuevo, podcast, lethalcrysis, hiclavero, vuelven",Alegría,Alta,2256,Bajo,2022-01-21 15:44:22,0.977
5,"hispanos, latinos, brandon, moreno, joder",Alegría,Alta,8911,Medio,2022-01-23 04:27:10,0.97
6,"pues, nada, podido, combate, táctico",Neutral,Alta,5378,Medio,2022-01-23 05:18:47,0.993
7,"hacker, andorra, mejor, anime, puedo",Alegría,Media,31217,Alto,2022-01-23 18:08:08,0.691
8,"streamer, próximo, evento, tipo, squid",Alegría,Alta,83523,Viral,2022-01-25 00:33:12,0.952
9,"nuevo, podcast, explico, fueron, premios",Neutral,Alta,2150,Bajo,2022-01-25 15:51:07,0.965
10,"simplemente, padre",Alegría,Alta,15519,Alto,2022-01-26 20:24:49,0.775
11,"estoy, tardando, subir, podcast, tenido",Neutral,Alta,8734,Medio,2022-01-27 17:14:55,0.766
12,"spoiler, queda, mucho, visita, pasó",Neutral,Alta,46969,Alto,2022-01-27 18:08:28,0.948
13,"nuevo, podcast, rubius, wild, project",Alegría,Alta,30930,Alto,2022-01-27 19:37:43,0.974
14,"spotify, pone, pasta, fichar, haaland",Neutral,Alta,28476,Alto,2022-01-27 20:29:26,0.987
15,"estáis, amargados, twitter",Enfado,Alta,51068,Viral,2022-01-29 15:08:51,0.847
16,"dais, tanta, importancia, benidorm, eurovision",Enfado,Alta,2712,Bajo,2022-01-30 00:16:49,0.92
17,"rafa, nadal, mejor, parido, españa",Alegría,Alta,33617,Alto,2022-01-30 15:06:36,0.988
18,"queréis, sentiros, viejos, final, fantasy",Neutral,Alta,13629,Alto,2022-01-31 14:28:30,0.968
19,"nuevo, podcast, tertulia, wild, project",Alegría,Alta,1613,Bajo,2022-02-01 15:50:22,0.986
20,"sesión, elxokas, pareja, enamorada, punto",Neutral,Alta,77379,Viral,2022-02-01 18:34:07,0.938
21,basta,Neutral,Media,84364,Viral,2022-02-02 16:40:46,0.643
22,"entrevista, hecho, maravilloso, padre, papagiorgioreal",Neutral,Alta,1854,Bajo,2022-02-03 15:24:11,0.909
23,"nuevo, podcast, david, saavedra, estuvo",Alegría,Alta,2979,Medio,2022-02-03 15:43:01,0.966
24,"cholo, defensas, solo, perdéis",Neutral,Alta,17165,Alto,2022-02-06 16:25:19,0.978
25,"laporta, conseguido, unos, meses, bartomeu",Neutral,Alta,35254,Alto,2022-02-07 22:38:41,0.973
26,choca,Neutral,Baja,20336,Alto,2022-02-08 13:41:22,0.445
27,"nuevo, podcast, nueva, tertulia, semana",Neutral,Alta,1186,Bajo,2022-02-08 15:59:46,0.982
28,"madre, parió",Neutral,Media,19287,Alto,2022-02-09 22:40:04,0.668
29,"hola, buenas, tardes, espero, esten",Neutral,Alta,17306,Alto,2022-02-10 13:50:26,0.872
30,"nuevo, podcast, cris, gutiérrez, clasificada",Alegría,Alta,1426,Bajo,2022-02-10 16:41:03,0.986
31,"prensa, cada, youtuber, hace, cagada",Neutral,Alta,17978,Alto,2022-02-11 17:21:05,0.791
32,"ojalá, buenos, combates, duraran, asaltos",Neutral,Alta,8863,Medio,2022-02-13 05:40:07,0.973
33,"superbowl, igual, aparentar, interesa, casi",Neutral,Media,17245,Alto,2022-02-14 02:31:13,0.728
34,"único, rapero, legendario, faltó, halftime",Neutral,Alta,34300,Alto,2022-02-14 02:45:04,0.987
35,valentín,Alegría,Media,28593,Alto,2022-02-14 22:32:30,0.601
36,"nuevo, podcast, tertulia, semanal, wild",Neutral,Media,1194,Bajo,2022-02-15 16:02:21,0.621
37,"perdón, dejé, otro, grande, mundo",Neutral,Alta,6154,Medio,2022-02-15 18:24:30,0.921
38,"tweet, llegue, likes, pondré, respuesta",Alegría,Media,30283,Alto,2022-02-17 15:18:26,0.709
39,"nuevo, podcast, pedro, baños, geoestratego",Alegría,Alta,2182,Bajo,2022-02-17 15:47:43,0.957
40,defensa,Neutral,Alta,15723,Alto,2022-02-17 18:33:15,0.949
41,"fuera, bromas, hecho, partido, ganar",Neutral,Alta,15819,Alto,2022-02-17 19:45:35,0.785
42,"noche, estaré, horizonte, querido, iker",Alegría,Media,3327,Medio,2022-02-17 22:35:22,0.695
43,"está, primero, pille, lleva",Neutral,Alta,2665,Bajo,2022-02-18 15:09:51,0.931
44,"sabéis, demasiado, superhéroes, peacemaker, encantado",Alegría,Alta,16381,Alto,2022-02-20 15:58:46,0.996
45,"desde, paracetamor, puto, main, event",Alegría,Alta,44286,Alto,2022-02-20 20:40:20,0.828
46,"mañana, analizaré, velada, wild, project",Alegría,Alta,21746,Alto,2022-02-20 21:43:37,0.963
47,"jagger, ganar, combates",Neutral,Alta,32211,Alto,2022-02-20 22:15:56,0.988
48,"nuevo, podcast, tertulia, semana, wild",Neutral,Alta,1434,Bajo,2022-02-22 15:36:24,0.984
49,"bitcoins, beso, medio, culo, quien",Neutral,Alta,19513,Alto,2022-02-22 19:10:28,0.782
50,"maldito, miyazaki, hijo, puta, vuelto",Enfado,Alta,7016,Medio,2022-02-23 22:29:30,0.797
51,"rusia, ucrania",Neutral,Alta,43066,Alto,2022-02-24 14:01:15,0.988
52,,Neutral,Alta,93832,Viral,2022-02-24 15:17:55,0.951
53,"nuevo, podcast, wild, project, mayo",Neutral,Media,2246,Bajo,2022-02-24 15:57:10,0.739
54,"podcast, nacho, vidal, sido, polla",Alegría,Alta,24672,Alto,2022-02-24 19:48:30,0.968
55,"mierda, quiero, pegar, tiro, cojones",Sorpresa,Media,167906,Viral,2022-02-26 13:18:19,0.72
56,,Neutral,Alta,6862,Medio,2022-02-26 21:48:41,0.765
57,"gustaría, poder, traeros, bromas, salseos",Neutral,Alta,10074,Alto,2022-02-27 21:46:10,0.874
58,"pena, xavi, viniera, hace, meses",Tristeza,Media,30095,Alto,2022-02-27 21:54:12,0.593
59,"nuevo, podcast, ibaillanos, vino, wild",Neutral,Alta,7052,Medio,2022-03-01 15:36:14,0.946
60,"siento, podcast, ayudando, streamers, pequeños",Alegría,Alta,44004,Alto,2022-03-01 16:22:43,0.994
61,"hola, hermosuras, estoy, buscando, editores",Neutral,Media,10848,Alto,2022-03-02 18:40:26,0.697
62,"nuevo, podcast, segunda, parte, visita",Alegría,Alta,2490,Bajo,2022-03-03 15:29:12,0.992
63,"ibaillanos, hemos, hackeado, youtube",Neutral,Alta,32112,Alto,2022-03-03 23:04:33,0.939
64,"después, follada, residente, balvin, creo",Neutral,Media,47690,Alto,2022-03-05 16:21:04,0.68
65,"xavineta, rápido, espera",Alegría,Alta,28101,Alto,2022-03-06 17:32:04,0.842
66,"xokas, nuestro, padre, hablar",Alegría,Media,41057,Alto,2022-03-08 14:45:19,0.525
67,"nuevo, podcast, tertulia, repleta, noticias",Alegría,Alta,1395,Bajo,2022-03-08 16:06:10,0.944
68,"época, hacerte, chulo, tenías, fumar",Neutral,Alta,31381,Alto,2022-03-09 19:53:50,0.981
69,"paquetes, ganar",Neutral,Alta,21940,Alto,2022-03-09 22:45:16,0.945
70,"nuevo, podcast, arturo, pérez, reverte",Alegría,Media,2806,Medio,2022-03-10 15:29:42,0.728
71,"encanta, toninievas, tenga, pinta, psycho",Alegría,Alta,738,Bajo,2022-03-10 19:40:57,0.93
72,"hola, buenas, tardes, felis, viernes",Alegría,Alta,13685,Alto,2022-03-11 14:21:32,0.924
73,"luka, doncic, mejor, jugador, admito",Neutral,Media,12262,Alto,2022-03-12 05:37:22,0.55
74,"willy, staxx, jugando, nuevo, único",Alegría,Media,57211,Viral,2022-03-13 21:19:44,0.528
75,"nuevo, podcast, tertulia, proyecto, salvaje",Alegría,Alta,1649,Bajo,2022-03-15 15:32:14,0.994
76,"cerebro, diseñado, mapas, elden, ring",Neutral,Alta,23595,Alto,2022-03-16 18:31:42,0.986
77,"nuevo, podcast, duros, hasta, momento",Neutral,Alta,1593,Bajo,2022-03-17 15:58:33,0.976
78,"última, participé, acto, sexual, espermatozoide",Neutral,Alta,53119,Viral,2022-03-18 15:20:52,0.941
79,"twitter, cojones, pasa",Sorpresa,Alta,14526,Alto,2022-03-18 16:18:46,0.764
80,"elden, ring, finalizado, domingo, nuevo",Neutral,Alta,10675,Alto,2022-03-18 20:39:19,0.925
81,"internautas, coño, mirando, unas, fotos",Alegría,Alta,4660,Medio,2022-03-19 19:57:26,0.957
82,"amigos, amigas, después, medio, vuelvo",Alegría,Alta,23093,Alto,2022-03-20 14:43:26,0.995
83,"serio, habéis, tomado, semana, calmaros",Enfado,Media,42519,Alto,2022-03-20 14:50:58,0.554
84,"nuevo, vídeo, verdad, jeffrey, epstein",Neutral,Baja,3956,Medio,2022-03-20 15:14:18,0.487
85,"semana, twitter",Neutral,Alta,61333,Viral,2022-03-20 17:51:08,0.973
86,"está, modo, full, xavineta",Neutral,Alta,28388,Alto,2022-03-20 20:37:38,0.989
87,"xavi, cogió, equipo, deprimido, triste",Alegría,Alta,39348,Alto,2022-03-20 21:12:30,0.97
88,"wildcris, abuelo, quién, roto, ventana",Neutral,Alta,3079,Medio,2022-03-22 21:19:11,0.787
